id	text
97	Upgrade College to Lv. 10
98	Upgrade Great Hall to Lv. 10
99	Upgrade Burial Site to Lv. 10
100	Upgrade Altar to Lv. 10
101	Upgrade Walls to Lv. 10
102	Upgrade Castle to Lv. 11
103	Build a Dark Sky
104	Upgrade Sawmill to Lv. 11
105	Upgrade Wishing Well to Lv. 11
106	Upgrade Haunted Mine to Lv. 11
107	Upgrade Cellar to Lv. 11
108	Upgrade Corpse Pit to Lv. 11
109	Upgrade Shooting Range to Lv. 11
110	Upgrade Forlorn Palace to Lv. 11
111	Upgrade Drill Grounds to Lv. 11
112	Upgrade College to Lv. 11
113	Upgrade Great Hall to Lv. 11
114	Upgrade Burial Site to Lv. 11
115	Upgrade Altar to Lv. 11
116	Upgrade Walls to Lv. 11
117	Upgrade Castle to Lv. 12
118	Build a Crypt
119	Upgrade Crypt to Lv. 12
120	Upgrade Sawmill to Lv. 12
121	Upgrade Wishing Well to Lv. 12
122	Upgrade Haunted Mine to Lv. 12
123	Upgrade Cellar to Lv. 12
124	Upgrade Corpse Pit to Lv. 12
125	Upgrade Shooting Range to Lv. 12
126	Upgrade Forlorn Palace to Lv. 12
127	Upgrade Drill Grounds to Lv. 12
128	Upgrade College to Lv. 12
129	Upgrade Great Hall to Lv. 12
130	Upgrade Burial Site to Lv. 12
131	Upgrade Altar to Lv. 12
132	Upgrade Walls to Lv. 12
133	Upgrade Castle to Lv. 13
134	Build a Workshop
135	Upgrade Workshop to Lv. 13
136	Upgrade Sawmill to Lv. 13
137	Upgrade Wishing Well to Lv. 13
138	Upgrade Haunted Mine to Lv. 13
139	Upgrade Cellar to Lv. 13
140	Upgrade Corpse Pit to Lv. 13
141	Upgrade Shooting Range to Lv. 13
142	Upgrade Forlorn Palace to Lv. 13
143	Upgrade Crypt to Lv. 13
144	Upgrade Drill Grounds to Lv. 13
145	Upgrade College to Lv. 13
146	Upgrade Great Hall to Lv. 13
147	Upgrade Burial Site to Lv. 13
148	Upgrade Altar to Lv. 13
149	Upgrade Walls to Lv. 13
150	Upgrade Castle to Lv. 14
151	Build a Cemetery
152	Upgrade Cemetery to Lv. 14
153	Upgrade Sawmill to Lv. 14
154	Upgrade Wishing Well to Lv. 14
155	Upgrade Haunted Mine to Lv. 14
156	Upgrade Cellar to Lv. 14
157	Upgrade Corpse Pit to Lv. 14
158	Upgrade Shooting Range to Lv. 14
159	Upgrade Forlorn Palace to Lv. 14
160	Upgrade Crypt to Lv. 14
161	Upgrade Drill Grounds to Lv. 14
162	Upgrade College to Lv. 14
163	Upgrade Great Hall to Lv. 14
164	Upgrade Burial Site to Lv. 14
165	Upgrade Altar to Lv. 14
166	Upgrade Workshop to Lv. 14
167	Upgrade Walls to Lv. 14
168	Upgrade Castle to Lv. 15
169	Build a Quiksilver Extractor
170	Build a Sanctuary
171	Upgrade Quiksilver Extractor to Lv. 15
172	Upgrade Sanctuary to Lv. 15
173	Upgrade Sawmill to Lv. 15
174	Upgrade Wishing Well to Lv. 15
175	Upgrade Haunted Mine to Lv. 15
176	Upgrade Cellar to Lv. 15
177	Upgrade Corpse Pit to Lv. 15
178	Upgrade Shooting Range to Lv. 15
179	Upgrade Forlorn Palace to Lv. 15
180	Upgrade Crypt to Lv. 15
181	Upgrade Cemetery to Lv. 15
182	Upgrade Drill Grounds to Lv. 15
183	Upgrade College to Lv. 15
184	Upgrade Great Hall to Lv. 15
185	Upgrade Burial Site to Lv. 15
186	Upgrade Altar to Lv. 15
187	Upgrade Workshop to Lv. 15
188	Upgrade Walls to Lv. 15
189	Upgrade Castle to Lv. 16
190	Upgrade Sawmill to Lv. 16
191	Upgrade Wishing Well to Lv. 16
192	Upgrade Haunted Mine to Lv. 16
193	Upgrade Quiksilver Extractor to Lv. 16
194	Upgrade Cellar to Lv. 16
195	Upgrade Corpse Pit to Lv. 16
196	Upgrade Shooting Range to Lv. 16
197	Upgrade Forlorn Palace to Lv. 16
198	Upgrade Crypt to Lv. 16
199	Upgrade Cemetery to Lv. 16
200	Upgrade Drill Grounds to Lv. 16
201	Upgrade College to Lv. 16
202	Upgrade Great Hall to Lv. 16
203	Upgrade Burial Site to Lv. 16
204	Upgrade Altar to Lv. 16
205	Upgrade Workshop to Lv. 16
206	Upgrade Sanctuary to Lv. 16
207	Upgrade Walls to Lv. 16
208	Upgrade Castle to Lv. 17
209	Upgrade Sawmill to Lv. 17
210	Upgrade Wishing Well to Lv. 17
211	Upgrade Haunted Mine to Lv. 17
212	Upgrade Quiksilver Extractor to Lv. 17
213	Upgrade Cellar to Lv. 17
214	Upgrade Corpse Pit to Lv. 17
215	Upgrade Shooting Range to Lv. 17
216	Upgrade Forlorn Palace to Lv. 17
217	Upgrade Crypt to Lv. 17
218	Upgrade Cemetery to Lv. 17
219	Upgrade Drill Grounds to Lv. 17
220	Upgrade College to Lv. 17
221	Upgrade Great Hall to Lv. 17
222	Upgrade Burial Site to Lv. 17
223	Upgrade Altar to Lv. 17
224	Upgrade Workshop to Lv. 17
225	Upgrade Sanctuary to Lv. 17
226	Upgrade Walls to Lv. 17
227	Upgrade Castle to Lv. 18
228	Upgrade Sawmill to Lv. 18
229	Upgrade Wishing Well to Lv. 18
230	Upgrade Haunted Mine to Lv. 18
231	Upgrade Quiksilver Extractor to Lv. 18
232	Upgrade Cellar to Lv. 18
233	Upgrade Corpse Pit to Lv. 18
234	Upgrade Shooting Range to Lv. 18
235	Upgrade Forlorn Palace to Lv. 18
236	Upgrade Crypt to Lv. 18
237	Upgrade Cemetery to Lv. 18
238	Upgrade Drill Grounds to Lv. 18
239	Upgrade College to Lv. 18
240	Upgrade Great Hall to Lv. 18
241	Upgrade Burial Site to Lv. 18
242	Upgrade Altar to Lv. 18
243	Upgrade Workshop to Lv. 18
244	Upgrade Sanctuary to Lv. 18
245	Upgrade Walls to Lv. 18
246	Upgrade Castle to Lv. 19
247	Upgrade Sawmill to Lv. 19
248	Upgrade Wishing Well to Lv. 19
249	Upgrade Haunted Mine to Lv. 19
250	Upgrade Quiksilver Extractor to Lv. 19
251	Upgrade Cellar to Lv. 19
252	Upgrade Corpse Pit to Lv. 19
253	Upgrade Shooting Range to Lv. 19
254	Upgrade Forlorn Palace to Lv. 19
255	Upgrade Crypt to Lv. 19
256	Upgrade Cemetery to Lv. 19
257	Upgrade Drill Grounds to Lv. 19
258	Upgrade College to Lv. 19
259	Upgrade Great Hall to Lv. 19
260	Upgrade Burial Site to Lv. 19
261	Upgrade Altar to Lv. 19
262	Upgrade Workshop to Lv. 19
263	Upgrade Sanctuary to Lv. 19
264	Upgrade Walls to Lv. 19
265	Upgrade Castle to Lv. 20
266	Upgrade Sawmill to Lv. 20
267	Upgrade Wishing Well to Lv. 20
268	Upgrade Haunted Mine to Lv. 20
269	Upgrade Quiksilver Extractor to Lv. 20
270	Upgrade Cellar to Lv. 20
271	Upgrade Corpse Pit to Lv. 20
272	Upgrade Shooting Range to Lv. 20
273	Upgrade Forlorn Palace to Lv. 20
274	Upgrade Crypt to Lv. 20
275	Upgrade Cemetery to Lv. 20
276	Upgrade Drill Grounds to Lv. 20
277	Upgrade College to Lv. 20
278	Upgrade Great Hall to Lv. 20
279	Upgrade Burial Site to Lv. 20
280	Upgrade Altar to Lv. 20
281	Upgrade Workshop to Lv. 20
282	Upgrade Sanctuary to Lv. 20
283	Upgrade Walls to Lv. 20
284	Upgrade Castle to Lv. 21
285	Upgrade Sawmill to Lv. 21
286	Upgrade Wishing Well to Lv. 21
287	Upgrade Haunted Mine to Lv. 21
288	Upgrade Quiksilver Extractor to Lv. 21
289	Upgrade Cellar to Lv. 21
290	Upgrade Corpse Pit to Lv. 21
291	Upgrade Shooting Range to Lv. 21
292	Upgrade Forlorn Palace to Lv. 21
293	Upgrade Crypt to Lv. 21
294	Upgrade Cemetery to Lv. 21
295	Upgrade Drill Grounds to Lv. 21
296	Upgrade College to Lv. 21
297	Upgrade Great Hall to Lv. 21
298	Upgrade Burial Site to Lv. 21
299	Upgrade Altar to Lv. 21
300	Upgrade Workshop to Lv. 21
301	Upgrade Sanctuary to Lv. 21
302	Upgrade Walls to Lv. 21
303	Upgrade Castle to Lv. 22
304	Upgrade Sawmill to Lv. 22
305	Upgrade Wishing Well to Lv. 22
306	Upgrade Haunted Mine to Lv. 22
307	Upgrade Quiksilver Extractor to Lv. 22
308	Upgrade Cellar to Lv. 22
309	Upgrade Corpse Pit to Lv. 22
310	Upgrade Shooting Range to Lv. 22
311	Upgrade Forlorn Palace to Lv. 22
312	Upgrade Crypt to Lv. 22
313	Upgrade Cemetery to Lv. 22
314	Upgrade Drill Grounds to Lv. 22
315	Upgrade College to Lv. 22
316	Upgrade Great Hall to Lv. 22
317	Upgrade Burial Site to Lv. 22
318	Upgrade Altar to Lv. 22
319	Upgrade Workshop to Lv. 22
320	Upgrade Sanctuary to Lv. 22
321	Upgrade Walls to Lv. 22
322	Upgrade Castle to Lv. 23
323	Upgrade Sawmill to Lv. 23
324	Upgrade Wishing Well to Lv. 23
325	Upgrade Haunted Mine to Lv. 23
326	Upgrade Quiksilver Extractor to Lv. 23
327	Upgrade Cellar to Lv. 23
328	Upgrade Corpse Pit to Lv. 23
329	Upgrade Shooting Range to Lv. 23
330	Upgrade Forlorn Palace to Lv. 23
331	Upgrade Crypt to Lv. 23
332	Upgrade Cemetery to Lv. 23
333	Upgrade Drill Grounds to Lv. 23
334	Upgrade College to Lv. 23
335	Upgrade Great Hall to Lv. 23
336	Upgrade Burial Site to Lv. 23
337	Upgrade Altar to Lv. 23
338	Upgrade Workshop to Lv. 23
339	Upgrade Sanctuary to Lv. 23
340	Upgrade Walls to Lv. 23
341	Upgrade Castle to Lv. 24
342	Upgrade Sawmill to Lv. 24
343	Upgrade Wishing Well to Lv. 24
344	Upgrade Haunted Mine to Lv. 24
345	Upgrade Quiksilver Extractor to Lv. 24
346	Upgrade Cellar to Lv. 24
347	Upgrade Corpse Pit to Lv. 24
348	Upgrade Shooting Range to Lv. 24
349	Upgrade Forlorn Palace to Lv. 24
350	Upgrade Crypt to Lv. 24
351	Upgrade Cemetery to Lv. 24
352	Upgrade Drill Grounds to Lv. 24
353	Upgrade College to Lv. 24
354	Upgrade Great Hall to Lv. 24
355	Upgrade Burial Site to Lv. 24
356	Upgrade Altar to Lv. 24
357	Upgrade Workshop to Lv. 24
358	Upgrade Sanctuary to Lv. 24
359	Upgrade Walls to Lv. 24
360	Upgrade Castle to Lv. 25
361	Upgrade Sawmill to Lv. 25
362	Upgrade Wishing Well to Lv. 25
363	Upgrade Haunted Mine to Lv. 25
364	Upgrade Quiksilver Extractor to Lv. 25
365	Upgrade Cellar to Lv. 25
366	Upgrade Corpse Pit to Lv. 25
367	Upgrade Shooting Range to Lv. 25
368	Upgrade Forlorn Palace to Lv. 25
369	Upgrade Crypt to Lv. 25
370	Upgrade Cemetery to Lv. 25
371	Upgrade Drill Grounds to Lv. 25
372	Upgrade College to Lv. 25
373	Upgrade Great Hall to Lv. 25
374	Upgrade Burial Site to Lv. 25
375	Upgrade Altar to Lv. 25
376	Upgrade Workshop to Lv. 25
377	Upgrade Sanctuary to Lv. 25
378	Upgrade Walls to Lv. 25
379	Upgrade Castle to Lv. 26
380	Upgrade Sawmill to Lv. 26
381	Upgrade Wishing Well to Lv. 26
382	Upgrade Haunted Mine to Lv. 26
383	Upgrade Quiksilver Extractor to Lv. 26
384	Upgrade Cellar to Lv. 26
385	Upgrade Corpse Pit to Lv. 26
386	Upgrade Shooting Range to Lv. 26
387	Upgrade Forlorn Palace to Lv. 26
388	Upgrade Crypt to Lv. 26
389	Upgrade Cemetery to Lv. 26
390	Upgrade Drill Grounds to Lv. 26
391	Upgrade College to Lv. 26
392	Upgrade Great Hall to Lv. 26
393	Upgrade Burial Site to Lv. 26
394	Upgrade Altar to Lv. 26
395	Upgrade Workshop to Lv. 26
396	Upgrade Sanctuary to Lv. 26
397	Upgrade Walls to Lv. 26
398	Upgrade Castle to Lv. 27
399	Upgrade Sawmill to Lv. 27
400	Upgrade Wishing Well to Lv. 27
401	Upgrade Haunted Mine to Lv. 27
402	Upgrade Quiksilver Extractor to Lv. 27
403	Upgrade Cellar to Lv. 27
404	Upgrade Corpse Pit to Lv. 27
405	Upgrade Shooting Range to Lv. 27
406	Upgrade Forlorn Palace to Lv. 27
407	Upgrade Crypt to Lv. 27
408	Upgrade Cemetery to Lv. 27
409	Upgrade Drill Grounds to Lv. 27
410	Upgrade College to Lv. 27
411	Upgrade Great Hall to Lv. 27
412	Upgrade Burial Site to Lv. 27
413	Upgrade Altar to Lv. 27
414	Upgrade Workshop to Lv. 27
415	Upgrade Sanctuary to Lv. 27
416	Upgrade Walls to Lv. 27
417	Upgrade Castle to Lv. 28
418	Upgrade Sawmill to Lv. 28
419	Upgrade Wishing Well to Lv. 28
420	Upgrade Haunted Mine to Lv. 28
421	Upgrade Quiksilver Extractor to Lv. 28
422	Upgrade Cellar to Lv. 28
423	Upgrade Corpse Pit to Lv. 28
424	Upgrade Shooting Range to Lv. 28
425	Upgrade Forlorn Palace to Lv. 28
426	Upgrade Crypt to Lv. 28
427	Upgrade Cemetery to Lv. 28
428	Upgrade Drill Grounds to Lv. 28
429	Upgrade College to Lv. 28
430	Upgrade Great Hall to Lv. 28
431	Upgrade Burial Site to Lv. 28
432	Upgrade Altar to Lv. 28
433	Upgrade Workshop to Lv. 28
434	Upgrade Sanctuary to Lv. 28
435	Upgrade Walls to Lv. 28
436	Upgrade Castle to Lv. 29
437	Upgrade Sawmill to Lv. 29
438	Upgrade Wishing Well to Lv. 29
439	Upgrade Haunted Mine to Lv. 29
440	Upgrade Quiksilver Extractor to Lv. 29
441	Upgrade Cellar to Lv. 29
442	Upgrade Corpse Pit to Lv. 29
443	Upgrade Shooting Range to Lv. 29
444	Upgrade Forlorn Palace to Lv. 29
445	Upgrade Crypt to Lv. 29
446	Upgrade Cemetery to Lv. 29
447	Upgrade Drill Grounds to Lv. 29
448	Upgrade College to Lv. 29
449	Upgrade Great Hall to Lv. 29
450	Upgrade Burial Site to Lv. 29
451	Upgrade Altar to Lv. 29
452	Upgrade Workshop to Lv. 29
453	Upgrade Sanctuary to Lv. 29
454	Upgrade Walls to Lv. 29
455	Upgrade Castle to Lv. 30
456	Upgrade Sawmill to Lv. 30
457	Upgrade Wishing Well to Lv. 30
458	Upgrade Haunted Mine to Lv. 30
459	Upgrade Quiksilver Extractor to Lv. 30
460	Upgrade Cellar to Lv. 30
461	Upgrade Corpse Pit to Lv. 30
462	Upgrade Shooting Range to Lv. 30
463	Upgrade Forlorn Palace to Lv. 30
464	Upgrade Crypt to Lv. 30
465	Upgrade Cemetery to Lv. 30
466	Upgrade Drill Grounds to Lv. 30
467	Upgrade College to Lv. 30
468	Upgrade Great Hall to Lv. 30
469	Upgrade Burial Site to Lv. 30
470	Upgrade Altar to Lv. 30
471	Upgrade Workshop to Lv. 30
472	Upgrade Sanctuary to Lv. 30
473	Upgrade Walls to Lv. 30
500	Build Lv. 1 Sawmill x3
501	Build Lv. 1 Sawmill x5
502	Build Lv. 1 Wishing Well x5
503	Summon 30 Zombies
504	Build Lv. 2 Sawmill x5
505	Build Lv. 2 Wishing Well x5
506	Summon 40 Zombies
507	Summon 50 Zombies
508	Research Balen Vortex I
509	Research Summon Rituals I
510	Research Wagon I
511	Help allies 3x
512	Help allies 10x
513	Summon 100 Zombies
514	Summon 150 Zombies
515	Complete 2 missions
516	Collect 300,000 Wood outside the city
517	Collect 300,000 Balens outside the city
518	Build Lv. 2 Sawmill x3
519	Build Lv. 2 Wishing Well x3
520	Summon 30 Zombies
521	Defeat 5 mobs
522	Collect 5,000 Wood outside the city
523	Collect 5,000 Balens outside the city
524	Collect 10,000 Iron outside the city
525	Research Hatchet I
526	Build Lv. 3 Sawmill x3
527	Build Lv. 3 Wishing Well x3
528	Void Wars: Control Lost Realm
529	Void Wars: Control Alfheim
530	Collect 20,000 Wood outside the city
531	Collect 20,000 Balens outside the city
532	Collect 70,000 Iron outside the city
533	Research Balen Vortex I
534	Help allies 5x
535	Respawn 10 troops
536	Reach Lord Lv. 5
537	Use 15 Skill Points
538	Build Lv. 4 Sawmill x4
539	Build Lv. 4 Wishing Well x4
540	Summon 100 Zombies
541	Defeat 10 mobs
542	Collect 1.2M Wood outside the city
543	Collect 1.2M Balens outside the city
544	Collect 500,000 Iron outside the city
545	Research Indexing I
546	Help allies 10x
547	Help allies 1x
548	Build Lv. 5 Sawmill x4 
549	Build Lv. 5 Wishing Well x4
550	Defend a city 1x
551	Attack a city 1x
552	Summon 100 Zombies
553	Collect 2M Wood outside the city
554	Collect 2M Balens outside the city
555	Collect 1M Iron outside the city
556	Research Fortified Walls I
557	Help allies 15x
558	Aid allies with 1,000 troops
559	Build Lv. 6 Sawmill x5
560	Build Lv. 6 Wishing Well x5
561	Summon 300 Zombies
562	Summon 300 Skeleton Archers
563	Collect 5M Wood outside the city
564	Collect 5M Balens outside the city
565	Collect 2.5M Iron outside the city
566	Research Wagon I
567	Help allies 20x
568	Aid allies with troops 3x
569	Build Lv. 7 Sawmill x5
570	Build Lv. 7 Wishing Well x5
571	Summon 400 Zombies
572	Summon 400 Skeleton Archers
573	Collect 10M Wood outside the city
574	Collect 10M Balens outside the city
575	Collect 5M Iron outside the city
576	Research Summon Rituals I
577	Help allies 25x
578	Aid allies with 5,000 troops
579	Build Lv. 8 Sawmill x5
580	Build Lv. 8 Wishing Well x5
581	Summon 500 Zombies
582	Summon 500 Skeleton Archers
583	Collect 20M Wood outside the city
584	Collect 20M Balens outside the city
585	Collect 10M Iron outside the city
586	Research Cartography I
587	Help allies 30x
588	Aid allies with troops 5x
589	Pray 10x
590	Reach Lord Lv. 10
591	Increase Iron production to 5,000/hr
592	Use 30 Skill Points
593	Summon 600 Zombies
594	Summon 600 Skeleton Archers
595	Defeat 15 mobs
596	Collect 50M Wood outside the city
597	Collect 50M Balens outside the city
598	Collect 25M Iron outside the city
599	Research Deathmarch I
600	Help allies 35x
601	Aid allies with 10,000 troops
602	Pray 20x
603	Respawn 500 troops
604	Successfully defend a city 3x
605	Successfully attack a city 3x
606	Summon 700 Zombies
607	Summon 700 Skeleton Archers
608	Summon 700 Undead Knights
609	Collect 100M Wood outside the city
610	Collect 100M Balens outside the city
611	Collect 50M Iron outside the city
612	Research Manipulation I
613	Help allies 40x
614	Aid allies with troops 7x
615	Pray 40x
616	Build Haunted Mine x5
617	Summon 800 Zombies
618	Summon 800 Skeleton Archers
619	Summon 800 Undead Knights
620	Collect 200M Wood outside the city
621	Collect 200M Balens outside the city
622	Collect 100M Iron outside the city
623	Collect 50M Quiksilver outside the city
624	Research Deathmarch II
625	Help allies 45x
626	Aid allies with 20,000 troops
627	Pray 80x
628	Summon 900 Zombies
629	Summon 900 Skeleton Archers
630	Summon 900 Undead Knights
631	Collect 500M Wood outside the city
632	Collect 500M Balens outside the city
633	Collect 300M Iron outside the city
634	Collect 100M Quiksilver outside the city
635	Research Summon Rituals II
636	Increase Quiksilver production to 3,000/hr
637	Help allies 50x
638	Aid allies with troops 9x
639	Pray 100x
640	Summon 1,000 Zombies
641	Summon 1,000 Skeleton Archers
642	Summon 1,000 Undead Knights
643	Summon 1,000 Gargoyles
644	Collect 1B Wood outside the city
645	Collect 1B Balens outside the city
646	Collect 500M Iron outside the city
647	Collect 200M Quiksilver outside the city
648	Research Cartography II
649	Help allies 55x
650	Aid allies with 30,000 troops
651	Pray 150x
652	Reach Lord Lv. 15
653	Use 50 Skill Points
654	Summon 1,500 Zombies
655	Summon 1,500 Skeleton Archers
656	Summon 1,500 Undead Knights
657	Summon 1,500 Gargoyles
658	Defeat 20 mobs
659	Collect 2B Wood outside the city
660	Collect 2B Balens outside the city
661	Collect 1B Iron outside the city
662	Collect 500M Quiksilver outside the city
663	Research Manipulation II
664	Help allies 60x
665	Aid allies with troops 11x
666	Pray 200x
667	Respawn 5,000 troops
668	Summon 2,000 Zombies
669	Summon 2,000 Skeleton Archers
670	Summon 2,000 Undead Knights
671	Summon 2,000 Gargoyles
672	Summon 2,000 Undead Mages
673	Research Deathmarch III
674	Help allies 65x
675	Aid allies with 40,000 troops
676	Pray 250x
677	Build Quiksilver Extractor x5
678	Summon 3,000 Zombies
679	Summon 3,000 Skeleton Archers
680	Summon 3,000 Undead Knights
681	Summon 3,000 Gargoyles
682	Summon 3,000 Undead Mages
683	Research Summon Rituals III
684	Help allies 70x
685	Aid allies with troops 13x
686	Pray 300x
687	Summon 4,000 Zombies
688	Summon 4,000 Skeleton Archers
689	Summon 4,000 Undead Knights
690	Summon 4,000 Gargoyles
691	Summon 4,000 Undead Mages
692	Research Cartography III
693	Help allies 75x
694	Aid allies with 50,000 troops
695	Pray 500x
696	Summon 5,000 Zombies
697	Summon 5,000 Skeleton Archers
698	Summon 5,000 Undead Knights
699	Summon 5,000 Gargoyles
700	Summon 5,000 Undead Mages
701	Research Manipulation III
702	Help allies 80x
703	Aid allies with troops 15x
704	Pray 1,000x
881	Get stronger!
